question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links
"An Australian artist, born the same year as artist Janet Cumbrae Stewart and fellow member of the Melbourne Society of Women Painters and Sculptors, had her painting featured on the cover of Women's World Magazine in 1923. What is the name of the painting?",Reve d'Or,https://en.wikipedia.org/wiki/Janet_Cumbrae_Stewart,https://en.wikipedia.org/wiki/Melbourne_Society_of_Women_Painters_and_Sculptors,https://en.wikipedia.org/wiki/Dora_Wilson,,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Janet_Cumbrae_Stewart', 'https://en.wikipedia.org/wiki/Melbourne_Society_of_Women_Painters_and_Sculptors', 'https://en.wikipedia.org/wiki/Dora_Wilson']"
"As of July 1, 2024, what is the parent company of the current record label of the singer of Edge of Seventeen?",Warner Music Group,https://en.wikipedia.org/wiki/Edge_of_Seventeen,https://en.wikipedia.org/wiki/Stevie_Nicks,https://en.wikipedia.org/wiki/Reprise_Records,https://en.wikipedia.org/wiki/Atlantic_Records,https://en.wikipedia.org/wiki/Modern_Records_(1980),https://en.wikipedia.org/wiki/Warner_Music_Group,https://en.wikipedia.org/wiki/Warner_Records,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Edge_of_Seventeen', 'https://en.wikipedia.org/wiki/Stevie_Nicks', 'https://en.wikipedia.org/wiki/Reprise_Records', 'https://en.wikipedia.org/wiki/Atlantic_Records', 'https://en.wikipedia.org/wiki/Modern_Records_(1980)', 'https://en.wikipedia.org/wiki/Warner_Music_Group', 'https://en.wikipedia.org/wiki/Warner_Records']"
The Basibasy mine is located in Madagascar. This mine is abundant in a specific chemical element that was discovered for the first time in 1791. The person who discovered this element was born on what is now known as a major US holiday - what holiday is this?,Christmas,https://en.wikipedia.org/wiki/Basibasy_mine,https://en.wikipedia.org/wiki/Titanium,https://en.wikipedia.org/wiki/William_Gregor,https://en.wikipedia.org/wiki/Christmas,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Basibasy_mine', 'https://en.wikipedia.org/wiki/Titanium', 'https://en.wikipedia.org/wiki/William_Gregor', 'https://en.wikipedia.org/wiki/Christmas']"
"One of Barbara Kingsolver's best known novels is about an American missionary family which moves to Africa. At the time, the country they move to was a Belgian colony. Which year did it become independent?",1960,https://en.wikipedia.org/wiki/Barbara_Kingsolver,https://en.wikipedia.org/wiki/The_Poisonwood_Bible,https://en.wikipedia.org/wiki/Belgian_Congo,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Barbara_Kingsolver', 'https://en.wikipedia.org/wiki/The_Poisonwood_Bible', 'https://en.wikipedia.org/wiki/Belgian_Congo']"
Which football player got 15 or more assists in La Liga during the 2010-2011 season and also played for Arsenal at one point in his career?,This was Mesut Ozil.,https://en.wikipedia.org/wiki/2010–11_La_Liga,https://en.wikipedia.org/wiki/Mesut_Özil,https://en.wikipedia.org/wiki/Dani_Alves,https://en.wikipedia.org/wiki/Lionel_Messi,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/2010–11_La_Liga', 'https://en.wikipedia.org/wiki/Mesut_Özil', 'https://en.wikipedia.org/wiki/Dani_Alves', 'https://en.wikipedia.org/wiki/Lionel_Messi']"
In Slovakia there is a well known Film Festival called the Bratistlava International Film Festival. What city/ town was the film editor for the Grand Prix winner of 2003 born in?,Roudnice nad Labem,https://en.wikipedia.org/wiki/Bratislava_International_Film_Festival,https://en.wikipedia.org/wiki/Boredom_in_Brno,https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Bro%C5%BEek,https://en.wikipedia.org/wiki/Roudnice_nad_Labem,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Bratislava_International_Film_Festival', 'https://en.wikipedia.org/wiki/Boredom_in_Brno', 'https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Bro%C5%BEek', 'https://en.wikipedia.org/wiki/Roudnice_nad_Labem']"
"On March 7th, 2012, the director James Cameron explored a very deep underseas trench.  As of August 3, 2024, how many times would the tallest building in San Francisco fit end to end from the bottom of the New Britain Trench to the surface of the ocean? The answer should be a rounded-off whole number.   ",28,https://en.wikipedia.org/wiki/James_Cameron,https://en.wikipedia.org/wiki/Solomon_Sea#Deepest_point,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_San_Francisco,,,,,,,,,Numerical reasoning | Tabular reasoning | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/James_Cameron', 'https://en.wikipedia.org/wiki/Solomon_Sea#Deepest_point', 'https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_San_Francisco']"
"In August of 2024, what is the first name of the mayor of the U.S. state capital city who attended the same university as at least one U.S. president and whose city is home to an outgoing or former full member of the Big 12 Conference",Leirion,https://en.wikipedia.org/wiki/Big_12_Conference,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Big_12_Conference', 'https://en.wikipedia.org/wiki/Lincoln,_Nebraska', 'https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education']"
"How many years after the founding of the 50th most populous US city, based on 2023 estimate population data, did Frank Fox receive UK Patent (1344259)?","98 Years (Arlington, TX & Rubik's Cube)",https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,"https://en.wikipedia.org/wiki/Arlington,_Texas",https://en.wikipedia.org/wiki/Rubik%27s_Cube,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population', 'https://en.wikipedia.org/wiki/Arlington,_Texas', 'https://en.wikipedia.org/wiki/Rubik%27s_Cube']"
"As of August 4, 2024, in what state was the first secretary of the latest United States federal executive department born?",Pennsylvania,https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments,https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security,https://en.wikipedia.org/wiki/Tom_Ridge,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments', 'https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security', 'https://en.wikipedia.org/wiki/Tom_Ridge']"
"As of August 1 2024, what is the most recently described genus of Colosteidae?","Deltaherpeton, first described in 2010",https://en.wikipedia.org/wiki/Colosteidae,https://en.wikipedia.org/wiki/Deltaherpeton,https://en.wikipedia.org/wiki/Greererpeton,https://en.wikipedia.org/wiki/Pholidogaster,,,,,,,,Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Colosteidae', 'https://en.wikipedia.org/wiki/Deltaherpeton', 'https://en.wikipedia.org/wiki/Greererpeton', 'https://en.wikipedia.org/wiki/Pholidogaster']"
Małgorzata Rożniecka is a model who won the title of Miss International. What is the difference in title years from when she won and the pageant winner who was murdered by her stalker?,10 years,https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka,https://en.wikipedia.org/wiki/Miss_International,https://en.wikipedia.org/wiki/Agnieszka_Kotlarska,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka', 'https://en.wikipedia.org/wiki/Miss_International', 'https://en.wikipedia.org/wiki/Agnieszka_Kotlarska']"
"According to the 1990 United States census, what was the total population of the cities in Oklahoma that had at least 100,000 residents according to the 2020 United States census?",950135,https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,https://en.wikipedia.org/wiki/Oklahoma_City,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma","https://en.wikipedia.org/wiki/Norman,_Oklahoma",,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population', 'https://en.wikipedia.org/wiki/Oklahoma_City', 'https://en.wikipedia.org/wiki/Tulsa,_Oklahoma', 'https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma', 'https://en.wikipedia.org/wiki/Norman,_Oklahoma']"
"What was the political party of the person who advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system?",Indian National Congress,"https://en.wikipedia.org/wiki/Chikhali,_Latur_district",https://en.wikipedia.org/wiki/Panchayati_raj,https://en.wikipedia.org/wiki/Mahatma_Gandhi,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Chikhali,_Latur_district', 'https://en.wikipedia.org/wiki/Panchayati_raj', 'https://en.wikipedia.org/wiki/Mahatma_Gandhi']"
"Giorgio Rognoni was an Italian professional footballer who played as a midfielder. 10 years after his death who was the midfielder who played in Milan that was born in Besana in Brianza,?",Demetrio Albertini,https://en.wikipedia.org/wiki/Giorgio_Rognoni,https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season,https://en.wikipedia.org/wiki/Demetrio_Albertini,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Giorgio_Rognoni', 'https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season', 'https://en.wikipedia.org/wiki/Demetrio_Albertini']"
What was the age difference between Mike Tyson and Tyson Fury on the respective days on which they lost their first ever fights? Represent the figure in years only.,12 years.,https://en.wikipedia.org/wiki/Tyson_Fury,https://en.wikipedia.org/wiki/Mike_Tyson,https://en.wikipedia.org/wiki/Mike_Tyson_vs._Buster_Douglas,https://en.wikipedia.org/wiki/Tyson_Fury_vs_Oleksandr_Usyk,,,,,,,,Numerical reasoning | Post processing,"['https://en.wikipedia.org/wiki/Tyson_Fury', 'https://en.wikipedia.org/wiki/Mike_Tyson', 'https://en.wikipedia.org/wiki/Mike_Tyson_vs._Buster_Douglas', 'https://en.wikipedia.org/wiki/Tyson_Fury_vs_Oleksandr_Usyk']"
"Using the Pruett rule, out of all of the blue moons that occurred between the beginning of World War I and the end of World War II, how many of them occurred on the 31st of the month?",9,https://en.wikipedia.org/wiki/Blue_moon#Blue_moon_dates,https://en.wikipedia.org/wiki/World_War_I#,https://en.wikipedia.org/wiki/World_War_II,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Blue_moon#Blue_moon_dates', 'https://en.wikipedia.org/wiki/World_War_I#', 'https://en.wikipedia.org/wiki/World_War_II']"
What number would Tommy Lawton have worn playing for Chelsea FC?,9,https://en.wikipedia.org/wiki/Tommy_Lawton,https://en.wikipedia.org/wiki/Squad_number_(association_football),,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Tommy_Lawton', 'https://en.wikipedia.org/wiki/Squad_number_(association_football)']"
"If you subtract the year that William McCrary ""Billy"" Ray II was born from the year Obama was first sworn in as President to the United States and multiply it by the number of administrative regions in France as of January 1, 2024, what number would you get?",828,https://en.wikipedia.org/wiki/William_M._Ray_II,https://en.wikipedia.org/wiki/Barack_Obama,https://en.wikipedia.org/wiki/Regions_of_France,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/William_M._Ray_II', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Regions_of_France']"
"If Princess Diana had been born three years earlier, who would have been Prime Minister when she was ten? ",Harold Wilson,"https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales",https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom,,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom']"
"As of August 1, 2024, what is the population of the writer of the ""Culdcept Saga""'s birthplace? Write the answer to the nearest million, in characters.",Two million.,https://en.wikipedia.org/wiki/Culdcept_Saga,https://en.wikipedia.org/wiki/Tow_Ubukata,https://en.wikipedia.org/wiki/Gifu_Prefecture,,,,,,,,,Numerical reasoning | Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Culdcept_Saga', 'https://en.wikipedia.org/wiki/Tow_Ubukata', 'https://en.wikipedia.org/wiki/Gifu_Prefecture']"
What is the middle name of the U.S. president who died on the same day of the year as Virginia Woolf?,David,https://en.wikipedia.org/wiki/Virginia_Woolf,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_date_of_death,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Virginia_Woolf', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_date_of_death', 'https://en.wikipedia.org/wiki/Dwight_D._Eisenhower']"
"As of 2010, if you added the number of times Brazil had won the World Cup to the amount of times the Chicago Bulls had won the NBA Championship and multiplied this number by the amount of times the Dallas Cowboys had won the Super Bowl, what number are you left with?",55,https://en.wikipedia.org/wiki/FIFA_World_Cup,https://en.wikipedia.org/wiki/Chicago_Bulls,https://en.wikipedia.org/wiki/Dallas_Cowboys,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/FIFA_World_Cup', 'https://en.wikipedia.org/wiki/Chicago_Bulls', 'https://en.wikipedia.org/wiki/Dallas_Cowboys']"
How old would the founder of the publishing company of the magazine that serialized the manga series Raw Hero have been the year the magazine ended publication?,145,https://en.m.wikipedia.org/wiki/Raw_Hero,https://en.m.wikipedia.org/wiki/Evening_(magazine),https://en.m.wikipedia.org/wiki/Kodansha,https://en.m.wikipedia.org/wiki/Seiji_Noma,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.m.wikipedia.org/wiki/Raw_Hero', 'https://en.m.wikipedia.org/wiki/Evening_(magazine)', 'https://en.m.wikipedia.org/wiki/Kodansha', 'https://en.m.wikipedia.org/wiki/Seiji_Noma']"
The oldest extant football team in Italy plays in a stadium.   The stadium is named after a person.   Who was the emperor of China when that person was 5 years old?,Guangxu,https://en.wikipedia.org/wiki/Oldest_football_clubs,https://en.wikipedia.org/wiki/Genoa_CFC,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris,https://en.wikipedia.org/wiki/Luigi_Ferraris_(footballer),https://en.wikipedia.org/wiki/List_of_Chinese_monarchs,,,,,,,Numerical reasoning | Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Oldest_football_clubs', 'https://en.wikipedia.org/wiki/Genoa_CFC', 'https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris', 'https://en.wikipedia.org/wiki/Luigi_Ferraris_(footballer)', 'https://en.wikipedia.org/wiki/List_of_Chinese_monarchs']"
"Of the four main characters on Seinfeld, which actor is the oldest?",Michael Richards,https://en.wikipedia.org/wiki/Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld,https://en.wikipedia.org/wiki/Jason_Alexander,https://en.wikipedia.org/wiki/Julia_Louis-Dreyfus,https://en.wikipedia.org/wiki/Michael_Richards,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Seinfeld', 'https://en.wikipedia.org/wiki/Jerry_Seinfeld', 'https://en.wikipedia.org/wiki/Jason_Alexander', 'https://en.wikipedia.org/wiki/Julia_Louis-Dreyfus', 'https://en.wikipedia.org/wiki/Michael_Richards']"
"How old was Harvard University, when the person whom the longest river in British Columbia is named after, was born?  The river in question only flows within the confines of British Columbia and does not enter any other province or territory.  ",140 years old.,https://en.wikipedia.org/wiki/Harvard_University,https://en.wikipedia.org/wiki/List_of_longest_rivers_of_Canada,https://en.wikipedia.org/wiki/Fraser_River,https://en.wikipedia.org/wiki/Simon_Fraser_(explorer),,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Harvard_University', 'https://en.wikipedia.org/wiki/List_of_longest_rivers_of_Canada', 'https://en.wikipedia.org/wiki/Fraser_River', 'https://en.wikipedia.org/wiki/Simon_Fraser_(explorer)']"
"On the same day that the The Mercedes-Benz W222 arrived at dealerships, a star of the sit-com Modern Family was wed. Who did the star marry?",Justin Mikita,https://en.wikipedia.org/wiki/Mercedes-Benz_S-Class_(W222),https://en.wikipedia.org/wiki/Modern_Family,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Mercedes-Benz_S-Class_(W222)', 'https://en.wikipedia.org/wiki/Modern_Family', 'https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson']"
Which species from the genus mulona are both found in the same country?,Mulona barnesi and mulona schausi,https://en.wikipedia.org/wiki/Mulona,https://en.wikipedia.org/wiki/Mulona_barnesi,https://en.wikipedia.org/wiki/Mulona_grisea,https://en.wikipedia.org/wiki/Mulona_lapidaria,https://en.wikipedia.org/wiki/Mulona_manni,https://en.wikipedia.org/wiki/Mulona_piperita,https://en.wikipedia.org/wiki/Mulona_schausi,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Mulona', 'https://en.wikipedia.org/wiki/Mulona_barnesi', 'https://en.wikipedia.org/wiki/Mulona_grisea', 'https://en.wikipedia.org/wiki/Mulona_lapidaria', 'https://en.wikipedia.org/wiki/Mulona_manni', 'https://en.wikipedia.org/wiki/Mulona_piperita', 'https://en.wikipedia.org/wiki/Mulona_schausi']"
"As of July 1, 2024, if I wanted to give my daughter the middle name of the American woman who is the most decorated female in the history of American gymnastics as her first name and the full first name of the American woman who holds the world record in the 800-meter freestyle as her middle name, what would I name my daughter? ",Arianne Kathleen,https://en.wikipedia.org/wiki/Simone_Biles,https://en.wikipedia.org/wiki/Katie_Ledecky,,,,,,,,,,Post processing,"['https://en.wikipedia.org/wiki/Simone_Biles', 'https://en.wikipedia.org/wiki/Katie_Ledecky']"
I am thinking of a Ancient Roman City.  The city was destroyed by volcanic eruption.  The eruption occurred in the year 79 AD.  The volcano was a stratovolcano.    Where was the session held where it was decided that the city would be named a UNESCO world heritage site?,Naples,https://en.wikipedia.org/wiki/Stratovolcano,https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD,https://en.wikipedia.org/wiki/Pompeii,https://en.wikipedia.org/wiki/World_Heritage_Committee,,,,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Stratovolcano', 'https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD', 'https://en.wikipedia.org/wiki/Pompeii', 'https://en.wikipedia.org/wiki/World_Heritage_Committee']"
What Formula One car was driven in 1994 by the nephew of a racing driver from Italy who drove a Ferrari 312T and shares a last name with a common cocktail drink?,Minardi M194,https://en.wikipedia.org/wiki/Minardi_M194,https://en.wikipedia.org/wiki/Pierluigi_Martini,https://en.wikipedia.org/wiki/Giancarlo_Martini,https://en.wikipedia.org/wiki/List_of_cocktails,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Minardi_M194', 'https://en.wikipedia.org/wiki/Pierluigi_Martini', 'https://en.wikipedia.org/wiki/Giancarlo_Martini', 'https://en.wikipedia.org/wiki/List_of_cocktails']"
"As of August 1, 2024, who is the president of the team that inspired the original name of the Washington Commanders?",Derek Schiller,https://en.wikipedia.org/wiki/Washington_Commanders,https://en.wikipedia.org/wiki/Boston_Braves,https://en.wikipedia.org/wiki/Atlanta_Braves,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Washington_Commanders', 'https://en.wikipedia.org/wiki/Boston_Braves', 'https://en.wikipedia.org/wiki/Atlanta_Braves']"
"As of 2023, how many more employees does the company alphabetically first by ticker symbol in the S&P500 have than the company alphabetically 2nd to last by ticker symbol in the S&P500?","8,350",https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,https://en.wikipedia.org/wiki/Agilent_Technologies,https://en.wikipedia.org/wiki/Zebra_Technologies,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_S%26P_500_companies', 'https://en.wikipedia.org/wiki/Agilent_Technologies', 'https://en.wikipedia.org/wiki/Zebra_Technologies']"
"I am moving to the G40 postcode area - what train stations are nearby, as of 2024?",Bridgeton Railway Station and Dalmarnock Railway Station.,https://en.wikipedia.org/wiki/List_of_postcode_areas_in_the_United_Kingdom,https://en.wikipedia.org/wiki/G_postcode_area,"https://en.wikipedia.org/wiki/Bridgeton,_Glasgow",https://en.wikipedia.org/wiki/Bridgeton_railway_station,"https://en.wikipedia.org/wiki/Calton,_Glasgow  ",https://en.wikipedia.org/wiki/Dalmarnock,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_postcode_areas_in_the_United_Kingdom', 'https://en.wikipedia.org/wiki/G_postcode_area', 'https://en.wikipedia.org/wiki/Bridgeton,_Glasgow', 'https://en.wikipedia.org/wiki/Bridgeton_railway_station', 'https://en.wikipedia.org/wiki/Calton,_Glasgow  ', 'https://en.wikipedia.org/wiki/Dalmarnock']"
